GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,DurationGenerator,0,70,0,6,0,13,0,6,0,3
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,MonthDayGenerator,0,93,0,6,0,19,0,6,0,3
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,OffsetTimeGenerator,0,85,0,6,0,24,0,6,0,3
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,YearGenerator,0,77,0,6,0,15,0,6,0,3
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,ClockGenerator,18,54,1,5,2,12,1,6,0,4
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,YearMonthGenerator,0,111,0,6,0,20,0,6,0,3
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,ZoneOffsetGenerator,5,76,1,7,0,17,1,6,0,3
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,LocalDateGenerator,0,75,0,6,0,16,0,6,0,3
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,OffsetDateTimeGenerator,0,80,0,6,0,17,0,7,0,4
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator,VoidGenerator,0,24,0,2,0,4,0,4,0,3
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator,IntegralGenerator,0,73,0,4,0,23,0,7,0,5
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator,DecimalGenerator,0,100,0,4,0,30,0,8,0,6
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,AbstractStringGenerator,0,133,0,6,0,28,0,12,0,9
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,Encoded,0,34,0,0,0,9,0,5,0,5
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,ByteGenerator,0,103,0,6,0,20,0,12,0,9
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,LongGenerator,0,103,0,6,0,20,0,12,0,9
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,ShortGenerator,0,103,0,6,0,20,0,12,0,9
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,IntegerGenerator,0,102,0,6,0,20,0,12,0,9
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,StringGenerator,0,17,1,3,0,3,1,4,0,3
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,CharacterGenerator,0,120,1,7,0,16,1,11,0,8
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,DoubleGenerator,0,105,0,6,0,21,0,13,0,10
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,FloatGenerator,0,106,0,6,0,21,0,13,0,10
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,CodePointShrink,0,133,0,4,0,24,0,6,0,4
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,BooleanGenerator,0,37,0,4,0,5,0,6,0,4
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.math,BigDecimalGenerator,0,190,0,26,0,45,0,25,0,12
