GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.generator,Gen,0,207,0,8,0,43,0,25,0,21
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.generator,ComponentizedGenerator,0,122,0,12,0,28,0,14,0,8
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.generator,GenerationStatus,0,1,0,0,0,1,0,1,0,1
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.generator,Generator,2,269,1,15,1,62,1,37,0,30
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.constraint,ConstraintEvaluator.ConstraintOgnlContext,0,22,0,2,0,3,0,2,0,1
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.constraint,ConstraintEvaluator.EvaluationException,0,8,0,0,0,4,0,2,0,2
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.constraint,ConstraintEvaluator,0,53,0,6,0,14,0,6,0,3
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,SimpleGenerationStatus,0,11,0,0,0,4,0,2,0,2
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,CompositeGenerator,69,191,3,7,17,45,7,18,5,15
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,MarkerInterfaceGenerator,0,27,0,0,0,6,0,2,0,2
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,LambdaGenerator,0,17,0,0,0,5,0,2,0,2
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,GuaranteeValuesGenerator,0,26,0,2,0,7,0,3,0,2
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,EnumGenerator,0,29,0,0,0,7,0,3,0,3
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,PropertyParameterGenerationContext.DiscardRatioExceededException,0,29,0,0,0,6,0,1,0,1
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,ArrayGenerator,1,283,2,24,0,68,2,27,0,16
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,SamplingDomainGenerator,0,15,0,0,0,4,0,2,0,2
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,AbstractGenerationStatus,0,44,0,0,0,10,0,5,0,5
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,ServiceLoaderGeneratorSource,0,39,0,2,0,9,0,4,0,3
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,ZilchGenerator,0,6,0,0,0,3,0,2,0,2
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,MarkerInterfaceGenerator.MarkerInvocationHandler,45,36,7,3,10,8,7,3,2,3
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,ExhaustiveDomainGenerator,0,28,0,0,0,9,0,3,0,3
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,GeneratorRepository,23,728,2,68,4,180,2,73,0,40
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,PropertyParameterGenerationContext,15,188,2,20,3,36,4,20,2,11
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,NullableGenerator,114,0,6,0,28,0,17,0,14,0
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.runner,PropertyFalsified,0,124,0,6,0,25,0,6,0,3
